qr_code,gprs_log_location
1000053,"12.928686666666668,77.672934999999995"
1000054,"12.918778333333334,77.687913333333327"
1000055,"12.923890000000000,77.665045000000006"
1000056,"12.918735000000000,77.688013333333330"
1000057,"12.925816666666666,77.694098333333329"
1000058,"12.919180000000001,77.687905000000001"
1000059,"12.919750000000001,77.689788333333340"
1000060,"12.919153333333334,77.687978333333334"
1000061,"12.920398333333333,77.691726666666668"
1000062,"12.918276666666667,77.686681666666672"
1000063,"12.926175000000001,77.675361666666660"
1000064,"12.919873333333333,77.689088333333331"
1000065,"12.908863333333333,77.694903333333329"
1000066,"12.926114999999999,77.694289999999995"
1000067,"12.918770000000000,77.687788333333330"
1000068,"12.891113333333333,77.673558333333332"
1000069,"12.919303333333334,77.687751666666671"
1000070,"12.943426666666667,77.691093333333328"
1000071,"12.933518333333334,77.693835000000007"
1000072,"12.919128333333333,77.687849999999997"
1000073,"12.920343333333333,77.691831666666673"
1000074,"12.919046666666667,77.688096666666667"
1000075,"12.929956666666667,77.681160000000006"
1000076,"12.923896666667,77.717486666667"
1000077,"12.926981666666666,77.694678333333329"
1000078,"12.941688333333333,77.698321666666672"
1000079,"12.919140000000001,77.687780000000004"
1000080,"12.932250000000000,77.686984999999993"
1000081,"12.920500000000001,77.691581666666664"
1000082,"12.934698333333333,77.706216666666663"
1000083,"12.955758333333334,77.699759999999998"
1000084,"12.919219999999999,77.687905000000001"
1000085,"12.929868333333333,77.679524999999998"
1000086,"12.923843333333334,77.693476666666669"
1000087,"12.942695000000001,77.691731666666669"
1000088,"12.923565000000000,77.665350000000004"
1000089,"12.918970000000000,77.687491666666673"
1000090,"12.918430000000001,77.687910000000002"
1000091,"12.918870000000000,77.687853333333337"
1000092,"12.925753333333333,77.693843333333334"
1000093,"12.919196666666666,77.687894999999997"
1000094,"12.943175,77.696898333333"
1000095,"12.919245000000000,77.688000000000002"
1000096,"12.918735000000000,77.687928333333332"
1000097,"12.943573333333333,77.690876666666668"
1000098,"12.918894999999999,77.687749999999994"
1000099,"12.918726666666666,77.687854999999999"
1000100,"12.921666666666667,77.663046666666673"
1000101,"12.924473333333333,77.689866666666660"
1000102,"12.920931666666666,77.682710000000000"
1000103,"12.922255000000000,77.664118333333334"
1000104,"12.926713333333334,77.701223333333331"
1000105,"12.925593333333333,77.686941666666669"
1000106,"12.951115000000000,77.710970000000003"
1000107,"12.924655000000000,77.690190000000001"
1000108,"12.923083333333333,77.663326666666663"
1000109,"12.925010000000000,77.692638333333335"
1000110,"12.919118333333333,77.687979999999996"
1000111,"12.925501666666667,77.681241666666665"
1000112,"12.930338333333333,77.677416666666673"
1000113,"12.918786666666668,77.687815000000001"
1000114,"12.920310000000001,77.691776666666669"
1000115,"12.941546666666667,77.701385000000002"
1000116,"12.922121666666667,77.676351666666662"
1000117,"12.918428333333333,77.687365000000000"
1000118,"12.919258333333334,77.687809999999999"
1000119,"12.926033333333333,77.686336666666662"
1000120,"12.931611666666667,77.702518333333330"
1000121,"12.918880000000000,77.687934999999996"
1000122,"12.918690000000000,77.688119999999998"
1000123,"12.920299999999999,77.691833333333335"
1000124,"12.919465000000001,77.682836666666660"
1000125,"12.935666666666666,77.700771666666668"
1000126,"12.916561666666666,77.699844999999996"
1000127,"12.926580000000000,77.689248333333339"
1000129,"12.934170000000000,77.707026666666664"
1000130,"12.918844999999999,77.687993333333338"
1000131,"12.919010000000000,77.687828333333329"
1000132,"12.919148333333334,77.687783333333329"
1000135,"12.919013333333334,77.688013333333330"
1000136,"12.999845000000001,77.676673333333326"
1000137,"12.919188333333333,77.687928333333332"
1000138,"12.918791666666667,77.687803333333335"
1000139,"12.920286666666666,77.691751666666661"
1000141,"12.958991666666666,77.708974999999995"
1000142,"12.935029999999999,77.708756666666673"
1000143,"12.919251666666666,77.687923333333330"
1000144,"12.919095000000000,77.687871666666666"
1000145,"13.001263333333334,77.561494999999994"
1000146,"12.930215000000000,77.681070000000005"
1000147,"12.919085000000001,77.687598333333327"
1000148,"12.935228333333333,77.693648333333329"
1000149,"12.915405000000000,77.691415000000006"
1000150,"12.943823333333333,77.696494999999999"
1000151,"12.941478333333333,77.701454999999996"
1000152,"12.918751666666667,77.687853333333337"
1000153,"12.941935000000001,77.693669999999997"
1000154,"12.918878333333334,77.687963333333329"
1000155,"12.918821666666666,77.687943333333337"
1000156,"12.927746666666666,77.680576666666667"
1000157,"12.919235000000000,77.687866666666665"
1000158,"12.924725000000000,77.686166666666665"
1000159,"12.951048333333333,77.711074999999994"
1000160,"12.919041666666667,77.687903333333338"
1000161,"12.926221666666667,77.690078333333332"
1000162,"12.919060000000000,77.688008333333329"
1000163,"12.919213333333333,77.688058333333331"
1000164,"12.919155000000000,77.687921666666668"
1000165,"12.916750000000000,77.693820000000002"
1000166,"12.919746666666667,77.689989999999995"
1000167,"12.925631666666666,77.685821666666669"
1000168,"12.920193333333334,77.691796666666662"
1000169,"12.934754999999999,77.687635000000000"
1000170,"12.918736666666666,77.687891666666673"
1000171,"12.923211666666667,77.669656666666668"
1000172,"12.919356666666667,77.687574999999995"
1000173,"12.919174999999999,77.687931666666671"
1000174,"12.929521666666666,77.675409999999999"
1000175,"12.918799999999999,77.687843333333333"
1000177,"12.919250000000000,77.687793333333332"
1000178,"12.919683333333333,77.689178333333331"
1000180,"12.919025000000000,77.687851666666660"
1000181,"12.919890000000001,77.689126666666667"
1000182,"12.919083333333333,77.687929999999994"
1000183,"12.919096666666666,77.687901666666662"
